id,score_phrase,title,platform,score,
38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PC,9,
39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,PlayStation 3,9,
40,Great,Rock Band Blitz,Xbox 360,8.5,
41,Great,Counter-Strike: Global Offensive,Macintosh,8,
42,Great,Worms Revolution,PlayStation 3,8.5,
43,Great,Worms Revolution,PC,8.5,
44,Great,Worms Revolution,Xbox 360,8.5,
45,Amazing,Bad Piggies,iPhone,9.2,
46,Good,Resident Evil 6,PlayStation 3,7.9,
47,Good,Resident Evil 6,Xbox 360,7.9,
48,Good,Shad'O,PC,7,
49,Okay,Demon's Score,iPhone,6.9,
50,Amazing,NBA 2K13,Xbox 360,9.1,
51,Great,Counter-Strike: Global Offensive,PC,8,
52,Amazing,The World Ends with You: Solo Remix,iPad,9.5,
53,Great,Counter-Strike: Global Offensive,PlayStation 3,8,
54,Amazing,The World Ends with You: Solo Remix,iPhone,9.5,
55,Great,Counter-Strike: Global Offensive,Xbox 360,8,
56,Okay,Madden NFL 13,PlayStation Vita,6,
57,Amazing,Madden NFL 13,PlayStation 3,9,
58,Amazing,Madden NFL 13,Xbox 360,9,
59,Painful,Hoodwink,PC,2.5,
60,Amazing,NBA 2K13,PlayStation 3,9.1,
61,Amazing,NBA 2K13,PC,9.1,
62,Good,Lili: Child of Geos,iPhone,7,
63,Great,Marvel vs. Capcom Origins,Xbox 360,8.2,
64,Great,Marvel vs. Capcom Origins,PlayStation 3,8.2,
65,Great,Dead or Alive 5,PlayStation 3,8.8,
66,Great,Dead or Alive 5,Xbox 360,8.8,
67,Bad,Medal of Honor Warfighter,PC,4,
68,Great,Professor Layton and the Miracle Mask,Nintendo 3DS,8.7,
69,Great,Hotline Miami,PC,8.8,
70,Okay,Edna & Harvey: Harvey's New Eyes,PC,6,
71,Bad,Medal of Honor Warfighter,PlayStation 3,4,
72,Bad,Medal of Honor Warfighter,Xbox 360,4,
73,Great,Transformers: Fall of Cybertron,Xbox 360,8.5,
74,Great,Transformers: Fall of Cybertron,PlayStation 3,8.5,
75,Amazing,Hero Academy,PC,9,
76,Amazing,Hero Academy,iPhone,9,
77,Amazing,Puzzle Craft,iPhone,9,
78,Mediocre,Realms Of Ancient War,Xbox 360,5.5,
79,Mediocre,Realms Of Ancient War,PlayStation 3,5.5,
80,Great,Anomaly: Warzone Earth,PlayStation 3,8.2,
81,Good,Darksiders II,PC,7.5,
82,Good,Left 4 Dead 2: Cold Stream,Macintosh,7,
83,Good,Left 4 Dead 2: Cold Stream,PC,7,
84,Amazing,Puzzle Craft,Android,9,
85,Good,Left 4 Dead 2: Cold Stream,Xbox 360,7,
86,Amazing,Horn,iPhone,9,
87,Amazing,Forza Horizon,Xbox 360,9,
88,Bad,FIFA Soccer 13,PlayStation Vita,4,
89,Awful,Mugen Souls,PlayStation 3,3.9,
90,Good,Crazy Taxi,iPhone,7.1,
91,Mediocre,New Little King's Story,PlayStation Vita,5.8,
92,Good,Fable: The Journey,Xbox 360,7.2,
93,Great,The Lord of the Rings Online: Riders of Rohan,PC,8.3,
94,Good,Doom 3: BFG Edition,Xbox 360,7.6,
95,Okay,Rugby League Live 2,Xbox 360,6,
96,Okay,Rugby League Live 2,PlayStation 3,6,
97,Good,Doom 3: BFG Edition,PlayStation 3,7.6,
98,Amazing,Punch Quest,iPhone,9.3,
99,Okay,He-Man: The Most Powerful Game in the Universe,iPhone,6.8,
100,Good,Doom 3: BFG Edition,PC,7.6,
101,Great,Dokuro,PlayStation Vita,8.8,
102,Painful,Naughty Bear: Panic in Paradise,Xbox 360,2.3,
103,Painful,Naughty Bear: Panic in Paradise,PlayStation 3,2.3,
104,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,PlayStation 3,7.5,
105,Great,Skylanders Giants,PlayStation 3,8,
106,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,PC,7.5,
107,Great,Rayman: Jungle Run,iPhone,8.8,
108,Amazing,FIFA Soccer 13,PC,9,
109,Amazing,FIFA Soccer 13,PlayStation 3,9,
110,Amazing,Torchlight II,PC,9.1,
111,Amazing,FIFA Soccer 13,Xbox 360,9,
112,Bad,The Sims 3: Supernatural,PC,4.5,
113,Good,Retro/Grade,PlayStation 3,7,
114,Amazing,Iron Brigade,PC,9,
115,Okay,Cafeteria Nipponica,iPhone,6,
116,Great,Sleeping Dogs,Xbox 360,8.5,
117,Great,Sleeping Dogs,PlayStation 3,8.5,
118,Good,Darksiders II,PlayStation 3,7.5,
119,Bad,Papo & Yo,PlayStation 3,4,
120,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,7.5,
121,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,7.5,
122,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,PlayStation 3,7.5,
123,Mediocre,Cortex Command,PC,5,
124,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,Xbox 360,7.5,
125,Good,Derrick the Deathfin,PlayStation 3,7.4,
126,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,Macintosh,7.5,
127,Great,XCOM: Enemy Unknown,Xbox 360,8.2,
128,Great,XCOM: Enemy Unknown,PC,8.2,
129,Okay,Silent Hill: Book of Memories,PlayStation Vita,6,
130,Good,Diaspora: Shattered Armistice,PC,7.4,
131,Okay,Pocket Clothier,iPhone,6.6,
132,Okay,Pocket Clothier,Android,6.6,
133,Okay,Ravaged,PC,6.7,
134,Okay,True Skate,iPhone,6.7,
135,Amazing,Zero Escape: Virtue's Last Reward,Nintendo 3DS,9.5,
136,Amazing,Zero Escape: Virtue's Last Reward,PlayStation Vita,9.5,
137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,9,
138,Great,Skylanders Giants,Xbox 360,8,
139,Great,Skylanders Giants,Wii,8,
140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,Xbox 360,7.5,
141,Great,Devil's Attorney,Android,8.3,
142,Great,Devil's Attorney,iPhone,8.3,
143,Okay,Code of Princess,Nintendo 3DS,6.9,
144,Great,SunFlowers,PlayStation Vita,8,
145,Bad,007 Legends,Xbox 360,4.5,
146,Amazing,Super Hexagon,iPhone,9,
147,Great,Machinarium,PlayStation 3,8,
148,Great,Final Fantasy Dimensions,iPhone,8,
149,Great,They Bleed Pixels,PC,8.2,
150,Good,Jet Set Radio,PlayStation Vita,7.5,
151,Good,Jet Set Radio,PlayStation 3,7.5,
152,Good,Jet Set Radio,Xbox 360,7.5,
153,Great,Pro Evolution Soccer 2013,Xbox 360,8.5,
154,Amazing,F1 2012,PC,9,
155,Good,Darksiders II,Xbox 360,7.5,
156,Good,Pitfall,iPhone,7,
157,Great,Dust: An Elysian Tail,Xbox 360,8.5,
158,Great,Hybrid,Xbox 360,8,
159,Mediocre,The Dark Knight Rises,iPhone,5.5,
160,Good,10000000,iPhone,7.5,
161,Okay,The Political Machine 2012,PC,6.5,
162,Amazing,Sound Shapes,PlayStation 3,9,
163,Amazing,Sound Shapes,PlayStation Vita,9,
164,Okay,One Piece: Pirate Warriors,PlayStation 3,6,
165,Great,XCOM: Enemy Unknown,PlayStation 3,8.2,
166,Amazing,Dishonored,Xbox 360,9.2,
167,Amazing,Dishonored,PC,9.2,
168,Amazing,Dishonored,PlayStation 3,9.2,
169,Good,Angry Birds Trilogy,Nintendo 3DS,7,
170,Good,Angry Birds Trilogy,Xbox 360,7,
171,Good,Angry Birds Trilogy,PlayStation 3,7,
172,Great,Girls Like Robots,iPhone,8.5,
173,Bad,Happy Wars,Xbox 360,4,
174,Bad,007 Legends,PlayStation 3,4.5,
175,Amazing,Funky Smugglers,iPhone,9,
176,Okay,Colour Bind,PC,6.2,
177,Mediocre,WRC 3 FIA World Rally Championship,Xbox 360,5,
178,Mediocre,WRC 3 FIA World Rally Championship,PC,5,
179,Mediocre,Retro City Rampage,PlayStation 3,5.3,
180,Mediocre,Retro City Rampage,PC,5.3,
181,Great,Dance Central 3,Xbox 360,8,
182,Mediocre,WRC 3 FIA World Rally Championship,PlayStation 3,5,
183,Mediocre,Snapshot,PC,5,
184,Amazing,F1 2012,PlayStation 3,9,
185,Great,Pro Evolution Soccer 2013,PlayStation 3,8.5,
186,Amazing,F1 2012,Xbox 360,9,
187,Great,Pro Evolution Soccer 2013,PC,8.5,
188,Amazing,Borderlands 2,Xbox 360,9,
189,Amazing,Borderlands 2,PC,9,
190,Great,Joe Danger: The Movie,Xbox 360,8,
191,Amazing,Borderlands 2,PlayStation 3,9,
192,Amazing,Sound Shapes,PlayStation 4,9,
193,Amazing,Persona 4 Arena,PlayStation 3,9,
194,Amazing,Persona 4 Arena,Xbox 360,9,
195,Bad,Hell Yeah! Wrath of the Dead Rabbit,PC,4.9,
196,Bad,Hell Yeah! Wrath of the Dead Rabbit,Xbox 360,4.9,
197,Mediocre,Retro City Rampage,PlayStation Vita,5.3,
198,Amazing,The Unfinished Swan,PlayStation 3,9,
199,Great,Tokyo Jungle,PlayStation 3,8,
200,Amazing,Halo 4,Xbox 360,9.8,
201,Amazing,Halo 4 (Limited Edition),Xbox 360,9.8,
202,Good,Zone of the Enders HD Collection,PlayStation 3,7,
203,Great,Harvest Moon: A New Beginning,Nintendo 3DS,8.3,
204,Good,Zone of the Enders HD Collection,Xbox 360,7,
205,Okay,Borderlands Legends,iPhone,6.5,
206,Okay,Borderlands Legends,iPad,6.5,
207,Amazing,Okami HD,PlayStation 3,9.4,
208,Mediocre,Ragnarok Odyssey,PlayStation Vita,5,
209,Okay,Need for Speed Most Wanted,iPhone,6.9,
210,Good,Pid,Xbox 360,7.8,
211,Good,Pid,PC,7.8,
212,Good,Pid,PlayStation 3,7.8,
213,Amazing,Need for Speed Most Wanted,PlayStation 3,9,
214,Great,Assassin's Creed III,Xbox 360,8.5,
215,Amazing,Need for Speed Most Wanted,Xbox 360,9,
216,Good,Assassin's Creed III: Liberation,PlayStation Vita,7.2,
217,Great,Smart As...,PlayStation Vita,8.5,
218,Great,Assassin's Creed III,PlayStation 3,8.5,
219,Amazing,Need for Speed Most Wanted,PC,9,
220,Great,WWE '13,PlayStation 3,8.4,
221,Okay,Street Fighter x Tekken,PlayStation Vita,6.6,
222,Great,WWE '13,Xbox 360,8.4,
223,Good,Chivalry: Medieval Warfare,PC,7.9,
224,Good,Sonic Jump,iPhone,7.5,
225,Mediocre,F1 Race Stars,Xbox 360,5.2,
226,Amazing,Call of Duty: Black Ops II,PC,9.3,
227,Mediocre,F1 Race Stars,PlayStation 3,5.2,
228,Mediocre,Midway Arcade Origins,PlayStation 3,5.5,
229,Mediocre,Midway Arcade Origins,Xbox 360,5.5,
230,Amazing,Call of Duty: Black Ops II,Xbox 360,9.3,
231,Amazing,Call of Duty: Black Ops II,PlayStation 3,9.3,
232,Okay,When Vikings Attack,PlayStation 3,6.5,
233,Okay,When Vikings Attack,PlayStation Vita,6.5,
234,Mediocre,"Freakyforms Deluxe: Your Creations, Alive!",Nintendo 3DS,5,
235,Mediocre,Painkiller: Hell & Damnation,PC,5,
236,Great,Transformers Prime,Nintendo 3DS,8,
237,Great,Angry Birds Star Wars,iPhone,8.8,
238,Good,Farming Simulator 2013,PC,7.1,
239,Great,Paper Mario: Sticker Star,Nintendo 3DS,8.3,
240,Okay,Lucius,PC,6,
241,Mediocre,LittleBigPlanet Karting,PlayStation 3,5,
242,Good,Primal Carnage,PC,7.6,
243,Great,Natural Selection 2,PC,8,
244,Okay,Symphonica: Grand Maestro,iPhone,6,
245,Amazing,Football Manager 2013,Macintosh,9,
246,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,PC,9.5,
247,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,iPad,9.5,
248,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,Macintosh,9.5,
249,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,PlayStation 3,9.5,
250,Amazing,Football Manager 2013,PC,9,
251,Good,Need for Speed Most Wanted,PlayStation Vita,7.4,
252,Bad,Orgarhythm,PlayStation Vita,4.7,
253,Good,Sports Champions 2,PlayStation 3,7.6,
254,Great,Kinect Party,Xbox 360,8.5,
255,Good,Sky Gamblers: Storm Raiders,iPhone,7.1,
256,Good,Oddworld: Stranger's Wrath HD,PlayStation Vita,7.5,
257,Good,AirBuccaneers,PC,7.5,
258,Great,Theatrhythm Final Fantasy,iPhone,8,
259,Okay,Sing Party,Wii U,6.3,
260,Okay,Beatdown!,iPhone,6.3,
261,Okay,Waking Mars,PC,6.5,
262,Okay,Waking Mars,iPhone,6.5,
263,Amazing,Hitman: Absolution,PlayStation 3,9,
264,Amazing,Hitman: Absolution,Xbox 360,9,
265,Okay,ZombiU,Wii U,6.3,
266,Good,Grand Theft Auto: Vice City,iPhone,7.7,
267,Good,Street Fighter X Mega Man,PC,7,
268,Good,Sonic & All-Stars Racing Transformed,PlayStation Vita,7,
269,Good,Sonic & All-Stars Racing Transformed,Nintendo 3DS,7,
270,Good,The Sims 3: Seasons,PC,7.5,
271,Mediocre,Tank! Tank! Tank!,Wii U,5.8,
272,Good,Guardians of Middle-earth,Xbox 360,7.5,
273,Okay,Ratchet & Clank: Full Frontal Assault,PlayStation 3,6.4,
274,Bad,Page Chronica,PlayStation 3,4.1,
275,Amazing,Hitman: Absolution,PC,9,
276,Amazing,Batman: Arkham City -- Armored Edition,Wii U,9.5,
277,Okay,Disney Epic Mickey 2: The Power of Two,PlayStation 3,6,
278,Okay,Disney Epic Mickey 2: The Power of Two,Xbox 360,6,
279,Good,Darksiders II,Wii U,7.5,
280,Great,Scribblenauts Unlimited,Wii U,8.8,
281,Bad,Call of Duty: Black Ops Declassified,PlayStation Vita,4,
282,Good,Fallen Enchantress,PC,7.9,
283,Good,Guns of Icarus Online,PC,7.3,
284,Mediocre,Miner Wars 2081,PC,5,
285,Good,Guardians of Middle-earth,PlayStation 3,7.5,
286,Great,The Elder Scrolls V: Skyrim -- Dragonborn,Xbox 360,8.8,
287,Okay,Baldur's Gate -- Enhanced Edition,iPad,6,
288,Okay,Black Knight Sword,Xbox 360,6.9,
289,Okay,Black Knight Sword,PlayStation 3,6.9,
290,Amazing,The Walking Dead: A Telltale Game Series -- Season One,Xbox 360,9.3,
291,Great,Sonic & All-Stars Racing Transformed,Xbox 360,8.6,
292,Amazing,New Super Mario Bros. U,Wii U,9.1,
293,Great,Sonic & All-Stars Racing Transformed,PlayStation 3,8.6,
294,Great,Nintendo Land,Wii U,8.7,
295,Good,ARC Squadron,iPhone,7.3,
296,Good,Ninja Gaiden III: Razor's Edge,Wii U,7.6,
297,Amazing,The Walking Dead: A Telltale Game Series -- Season One,PlayStation 3,9.3,
298,Amazing,The Walking Dead -- Game of the Year Edition,PC,9.3,
299,Amazing,The Walking Dead: A Telltale Game Series -- Season One,iPhone,9.3,
300,Good,Real Boxing,iPhone,7.6,
301,Great,Baldur's Gate -- Enhanced Edition,PC,8.1,
302,Amazing,Crashmo,Nintendo 3DS,9.5,
303,Amazing,PlanetSide 2,PC,9,
304,Okay,Disney Epic Mickey 2: The Power of Two,Wii U,6,
305,Amazing,The Walking Dead: A Telltale Game Series -- Season One,PC,9.3,
306,Amazing,The Walking Dead: A Telltale Game Series -- Season One,Macintosh,9.3,
307,Good,Strike Suit Zero,PC,7.5,
308,Painful,Final Fantasy: All The Bravest,iPhone,2.5,
309,Good,Tokyo Crash Mobs,Nintendo 3DS,7.7,
310,Amazing,Ni no Kuni: Wrath of the White Witch,PlayStation 3,9.4,
311,Mediocre,Marvel's The Avengers: Battle For Earth,Wii U,5,
312,Okay,Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox 360,6.9,
313,Great,Assassin's Creed III,PC,8.6,
314,Okay,Chasing Aurora,Wii U,6,
315,Great,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Nintendo 3DS,8.5,
316,Great,Madden NFL 13,Wii,8.3,
317,Good,Warriors Orochi 3 Hyper,Wii U,7,
318,Good,Transformers Prime,Wii U,7.8,
319,Okay,Skylanders Battlegrounds,iPhone,6.6,
320,Good,Rage of the Gladiator,iPhone,7.6,
321,Okay,FIFA Soccer 13,Wii U,6,
322,Okay,Family Guy: Back to the Multiverse,Xbox 360,6,
323,Okay,Family Guy: Back to the Multiverse,PlayStation 3,6,
324,Mediocre,Little Inferno,PC,5,
325,Mediocre,Little Inferno,Wii U,5,
326,Amazing,The Walking Dead -- Game of the Year Edition,PlayStation 3,9.3,
327,Amazing,The Walking Dead -- Game of the Year Edition,Xbox 360,9.3,
328,Amazing,The Walking Dead: A Telltale Game Series -- Season One,iPad,9.3,
329,Amazing,Minigore 2: Zombies,iPhone,9.1,
330,Mediocre,Jet Set Radio,iPhone,5.6,
331,Good,Forge,PC,7,
332,Okay,Nancy Drew: The Deadly Device,PC,6.8,
333,Good,Into the Dead,iPhone,7,
334,Mediocre,Just Dance 4,Wii U,5.3,
335,Okay,Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,6.9,
336,Okay,Borderlands 2: Sir Hammerlock's Big Game Hunt,PlayStation 3,6.9,
337,Great,DmC: Devil May Cry,PC,8.9,
338,Great,Unchained Blades,Nintendo 3DS,8,
339,Great,DmC: Devil May Cry,PlayStation 3,8.5,
340,Good,The Earth Defense Force 2017 Portable,PlayStation Vita,7.5,
341,Bad,007 Legends,Wii U,4.2,
342,Mediocre,Wraithborne,iPhone,5.2,
343,Amazing,Persona 4 Golden,PlayStation Vita,9.3,
344,Amazing,Call of Duty: Black Ops II,Wii U,9.3,
345,Mediocre,Rabbids Land,Wii U,5,
346,Good,Tekken Tag Tournament 2: Wii U Edition,Wii U,7.5,
347,Amazing,Far Cry 3,PC,9,
348,Great,Madden NFL 13,Wii U,8.3,
349,Amazing,Far Cry 3,PlayStation 3,9,
350,Mediocre,Little Inferno,Macintosh,5,
351,Mediocre,Little Inferno,iPad,5,
352,Mediocre,Little Inferno,Linux,5,
353,Mediocre,Little Inferno,iPhone,5,
354,Great,Little Chomp,iPhone,8,
355,Amazing,Trine 2: Director's Cut,Wii U,9,
356,Awful,LEGO The Lord of the Rings [Portable],Nintendo 3DS,3.8,
357,Awful,LEGO The Lord of the Rings [Portable],PlayStation Vita,3.8,
358,Okay,LEGO The Lord of the Rings,Xbox 360,6.8,
359,Great,Writer Rumble,iPhone,8.2,
360,Amazing,Mass Effect,PlayStation 3,9,
361,Great,Guilty Gear XX Accent Core Plus,Xbox 360,8.3,
362,Great,Guilty Gear XX Accent Core Plus,PlayStation 3,8.3,
363,Good,Uncharted: Fight For Fortune,PlayStation Vita,7,
364,Good,Modern Combat 4: Zero Hour,iPhone,7.8,
365,Okay,Wonderbook: Book  of Spells,PlayStation 3,6,
366,Great,Rift: Storm Legion,PC,8.3,
367,Amazing,Joe Danger,iPhone,9.1,
368,Great,DmC: Devil May Cry,Xbox 360,8.9,
369,Mediocre,Anarchy Reigns,Xbox 360,5.9,
370,Mediocre,Anarchy Reigns,PlayStation 3,5.9,
371,Great,Kentucky Route Zero: Act 1,PC,8.3,
372,Okay,Primordia,PC,6.8,
373,Amazing,Mutant Mudds,iPhone,9.1,
374,Amazing,Far Cry 3,Xbox 360,9,
375,Amazing,Mass Effect 3 (Special Edition),Wii U,9.5,
376,Amazing,Nano Assault Neo,Wii U,9,
377,Good,Disney Epic Mickey: Power of Illusion,Nintendo 3DS,7,
378,Great,Assassin's Creed III,Wii U,8.5,
379,Amazing,Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,9.2,
380,Great,Scribblenauts Unlimited,PC,8.8,
381,Amazing,Borderlands 2: Mr. Torgue's Campaign of Carnage,Xbox 360,9.2,
382,Great,PlayStation All-Stars Battle Royale,PlayStation Vita,8,
383,Good,Jetpack Joyride,PlayStation Portable,7.4,
384,Okay,LEGO The Lord of the Rings,PlayStation 3,6.8,
385,Good,The Walking Dead: Assault,iPhone,7.5,
386,Good,Miasmata,PC,7.9,
387,Good,Bladeslinger: Episode 1,iPhone,7.2,
388,Mediocre,Funky Barn,Wii U,5,
389,Awful,ESPN Sports Connection,Wii U,3,
390,Great,Sonic & All-Stars Racing Transformed,Wii U,8.8,
391,Awful,Infestation: Survivor Stories,PC,3,
392,Good,Labyrinth Legends,PlayStation 3,7.7,
393,Mediocre,Ace of Spades,PC,5.9,
394,Good,Monsters Inc. Run,iPhone,7.7,
395,Good,Pudding Monsters,iPhone,7.3,
396,Amazing,Borderlands 2: Mr. Torgue's Campaign of Carnage,PlayStation 3,9.2,
397,Great,PlayStation All-Stars Battle Royale,PlayStation 3,8,
398,Amazing,NBA 2K13,Wii U,9.1,
399,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,Xbox 360,9.5,
400,Mediocre,NFL Quarterback Club '97,PlayStation,5,
401,Okay,Namco Museum Vol. 2,PlayStation,6,
402,Awful,Raven Project,PlayStation,3,
403,Okay,Silverload,PlayStation,6,
404,Good,Return Fire,PlayStation,7,
405,Painful,Rise 2: Resurrection,PlayStation,2,
406,Okay,Robo Pit,PlayStation,6.5,
407,Okay,NBA ShootOut,PlayStation,6,
408,Bad,Beyond The Beyond,PlayStation,4,
409,Good,Crash Bandicoot,PlayStation,7.5,
410,Great,Bust-A-Move 2: Arcade Edition,PlayStation,8,
411,Mediocre,CyberSpeed,PlayStation,5,
412,Good,D,PlayStation,7,
413,Okay,Assault Rigs,PlayStation,6,
414,Mediocre,ESPN Extreme Games,PlayStation,5,
415,Good,Doom (1993),PlayStation,7,
416,Great,Bottom of the 9th,PlayStation,8,
417,Good,Adidas Power Soccer,PlayStation,7,
418,Painful,Agile Warrior F-111X,PlayStation,2,
419,Great,Alien Trilogy,PlayStation,8,
420,Okay,Alone in the Dark: One Eyed Jack's Revenge,PlayStation,6,
421,Good,Fade to Black,PlayStation,7,
422,Good,Die Hard Trilogy,PlayStation,7.5,
423,Good,Discworld,PlayStation,7,
424,Okay,Battle Arena Toshinden 2,PlayStation,6,
425,Okay,A-Train,PlayStation,6,
426,Bad,Casper -- A Haunting 3D Challenge,PlayStation,4,
427,Okay,Bogey Dead 6,PlayStation,6,
428,Great,Namco Museum Vol. 1,PlayStation,8,
429,Good,Road & Track Presents: The Need for Speed,PlayStation,7,
430,Okay,Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6,
431,Good,PGA Tour '96,PlayStation,7,
432,Good,Rayman,PlayStation,7,
433,Okay,Raiden Project,PlayStation,6,
434,Great,Andretti Racing,PlayStation,8,
435,Good,Discworld,PlayStation,7,
436,Good,Die Hard Trilogy,PlayStation,7.5,
437,Awful,Gunship,PlayStation,3,
438,Okay,Olympic Summer Games: Atlanta '96,PlayStation,6,
439,Unbearable,Revolution X,PlayStation,1,
440,Bad,Shockwave Assault,PlayStation,4,
441,Bad,HardBall 5,PlayStation,4,
442,Good,Twisted Metal [1996],PlayStation,7,
443,Amazing,WipEout XL,PlayStation,9,
444,Great,WipEout,PlayStation,8,
445,Great,Tobal No. 1,PlayStation,8.7,
446,Great,Star Gladiator Episode 1: Final Crusade,PlayStation,8,
447,Good,Starfighter,PlayStation,7,
448,Good,Battle Arena Toshinden,PlayStation,7,
449,Good,Destruction Derby,PlayStation,7,
450,Great,Aquanaut's Holiday,PlayStation,8,
451,Painful,Creature Shock (Special Edition),PlayStation,2,
452,Good,Air Combat,PlayStation,7,
453,Good,Descent,PlayStation,7,
454,Mediocre,Cyber Sled,PlayStation,5,
455,Good,DEFCON 5,PlayStation,7,
456,Mediocre,The King of Fighters '95,PlayStation,5,
457,Great,Jumping Flash! 2,PlayStation,8,
458,Bad,Epidemic,PlayStation,4,
459,Mediocre,Philosoma,PlayStation,5,
460,Mediocre,NBA In the Zone,PlayStation,5,
461,Good,Magic Carpet,PlayStation,7.5,
462,Painful,Power Serve 3D Tennis,PlayStation,2,
463,Great,Resident Evil [1996],PlayStation,8.7,
464,Okay,NCAA GameBreaker,PlayStation,6.8,
465,Okay,Project: Horned Owl,PlayStation,6,
466,Okay,Frank Thomas: Big Hurt Baseball,PC,6,
467,Good,Goal Storm,PlayStation,7,
468,Awful,In the Hunt,PlayStation,3,
469,Good,International Track & Field,PlayStation,7,
470,Painful,Novastorm,PlayStation,2,
471,Great,PO'ed,PlayStation,8,
472,Okay,NBA Jam: Tournament Edition,PlayStation,6.5,
473,Good,WWF Wrestlemania: The Arcade Game,PlayStation,7,
474,Good,Williams Arcade's Greatest Hits,PlayStation,7,
475,Okay,Tetris Plus,PlayStation,6,
476,Mediocre,Slam 'n Jam '96: Featuring Magic and Kareem,PlayStation,5,
477,Bad,V-Tennis,PlayStation,4,
478,Good,Tokyo Highway Battle,PlayStation,7,
479,Mediocre,Zero Divide,PlayStation,5,
480,Amazing,X-COM: UFO Defense,PlayStation,9,
481,Okay,Darkstalkers: The Night Warriors,PlayStation,6.5,
482,Good,FIFA Soccer '96,PlayStation,7.8,
483,Bad,Mortal Kombat Trilogy,Nintendo 64,4.1,
484,Amazing,Wave Race 64,Nintendo 64,9.7,
485,Mediocre,Battle Arena Toshinden Remix,Saturn,5,
486,Bad,Cruis'n USA,Nintendo 64,4,
487,Mediocre,Batman Forever: The Arcade Game,PlayStation,5,
488,Great,Pilotwings 64,Nintendo 64,8.2,
489,Mediocre,Road Rash,PlayStation,5,
490,Good,Ridge Racer [1995],PlayStation,7.5,
491,Good,Shellshock,PlayStation,7,
492,Good,SimCity 2000,PlayStation,7,
493,Good,Street Fighter Alpha: Warriors' Dreams,PlayStation,7,
494,Awful,The Hive,PlayStation,3,
495,Good,Loaded,PlayStation,7.5,
