ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
ID9MtnBP6,2017-01-13 09:19:23,2446082,820889,48498,93157824,e,Google Chrome,Mobile,0
IDfIRNuqo,2017-01-15 12:02:09,7900315,228686,33287,81758577,d,Firefox,Mobile,0
IDaVnZjyM,2017-01-15 09:22:32,6215931,877111,43612,26391770,f,Mozilla,Desktop,0
ID7z86GNh,2017-01-14 12:08:51,3843002,39284,6906,99510044,b,Chrome,Desktop,0
ID6r8eG5r,2017-01-10 13:18:18,3657786,468011,82877,67290861,a,Edge,Tablet,0
IDeehcGxU,2017-01-20 11:39:12,952752,262646,1678,49130839,c,Firefox,Mobile,0
IDEty1q2q,2017-01-11 15:44:55,6917721,975967,20322,81968512,a,Firefox,Mobile,0
IDN33fUDf,2017-01-13 17:41:41,1373409,146837,25491,15961717,b,Edge,Tablet,0
IDAKHE7nd,2017-01-10 18:21:11,8585156,369242,12211,1189152,a,Google Chrome,Mobile,0
IDfda2yPx,2017-01-19 08:37:04,4866826,59985,42227,49384126,a,Edge,Tablet,0
IDNaDg1Gx,2017-01-16 12:21:32,,43435,34670,1569330,b,Edge,,0
IDVEpo6Od,2017-01-16 14:18:36,5412321,883627,12052,31388981,b,InternetExplorer,Desktop,0
IDQzkO4b9,2017-01-19 17:56:20,4762702,340689,1678,70239921,b,Edge,Tablet,0
IDlgTxlwr,2017-01-10 17:28:11,6855501,100418,6906,99510044,f,Mozilla,Desktop,0
IDuJOm0mq,2017-01-20 16:49:58,9366937,135614,904,26391770,b,Edge,Tablet,0
IDAdgp59H,2017-01-16 16:01:42,3089725,673979,93286,7122654,b,Firefox,Mobile,0
ID36eSWKt,2017-01-14 21:46:39,151828,94579,87895,61940782,a,InternetExplorer,Desktop,0
IDzui3B7L,2017-01-15 11:06:37,2511988,228751,33638,47079934,b,Firefox,Mobile,0
IDQLnCSQ2,2017-01-17 17:46:32,265059,776780,41210,26391770,e,Opera,Mobile,0
IDxt86MLd,2017-01-18 13:48:38,5794830,605003,835,26551485,a,Mozilla Firefox,Desktop,0
ID8DwhANO,2017-01-11 18:16:44,2827603,87106,42227,49384126,a,Google Chrome,,0
IDZUI4aBn,2017-01-15 04:37:25,6019895,712450,96184,93157824,b,Mozilla,Desktop,0
ID3A95WSu,2017-01-19 09:12:17,6792696,830233,53956,52437512,a,Firefox,Mobile,0
IDFkhIie4,2017-01-18 17:10:23,,362587,24888,17488931,b,Google Chrome,Mobile,0
IDJGmLHdm,2017-01-18 17:58:58,544633,462487,9764,50595884,b,Firefox,,0
IDTMqa7Qc,2017-01-18 09:13:45,5074459,851451,35368,7122654,d,Firefox,,0
ID3tm0rDh,2017-01-14 11:42:47,,520437,904,29916445,c,Edge,Tablet,0
IDxSDD6RW,2017-01-14 16:10:54,4096480,400296,5602,16622107,a,Firefox,Mobile,0
IDvjJd8RR,2017-01-14 16:33:11,4882623,182445,1678,7864011,b,Firefox,Mobile,0
IDTq9C9xx,2017-01-18 08:45:16,8654555,539528,20322,7864011,b,InternetExplorer,Desktop,0
IDfIB8O3T,2017-01-19 10:27:33,1058493,966415,70409,17488931,b,Edge,Tablet,0
IDiF6ZMKV,2017-01-15 17:52:36,1443847,417444,17714,74363610,c,Edge,Tablet,0
IDkdwAHMN,2017-01-20 17:47:34,4653829,809337,42227,1189152,b,Firefox,,0
IDqI2TXxv,2017-01-10 16:42:43,4345112,658157,53956,52437512,a,IE,Mobile,0
ID0TAeKnx,2017-01-14 16:40:37,2020226,540274,98552,17990842,a,Edge,Tablet,0
IDVl64pDK,2017-01-13 13:45:49,,173218,12052,17581428,b,Firefox,,0
IDIlt5g7i,2017-01-16 15:50:47,1267217,845193,63392,27723861,b,InternetExplorer,Desktop,0
IDtqAFeQ3,2017-01-14 16:46:30,5680160,578295,73248,30860214,a,Firefox,Mobile,0
IDIHjqdxA,2017-01-17 10:22:02,5633336,311559,36768,555603,b,Google Chrome,Mobile,0
IDCGeAiTS,2017-01-12 13:23:38,1830791,997451,43612,41441342,f,Firefox,Mobile,0
IDCoM2uZM,2017-01-18 12:40:09,7062101,767822,82877,38492160,f,Firefox,Mobile,0
IDaIWcQgg,2017-01-14 14:13:16,,547153,82877,38492160,e,Edge,Tablet,0
ID3ifaSuM,2017-01-18 16:22:51,,3911,26162,555603,b,Mozilla Firefox,Desktop,0
IDnxHHQiK,2017-01-13 16:09:07,4218563,422731,59164,20301556,f,Mozilla,Desktop,0
IDu9GNayk,2017-01-19 23:48:23,7581901,898742,6906,71165566,f,Edge,Tablet,0
ID3pCJm2m,2017-01-17 16:24:12,7502746,590872,15124,99558603,e,Firefox,Mobile,0
IDDzLRqpH,2017-01-13 14:58:23,894468,254522,17714,74363610,b,Mozilla Firefox,Desktop,0
IDuE7MDfj,2017-01-19 16:15:02,1402501,661135,15124,99558603,a,Mozilla Firefox,Desktop,0
ID0SqwVVC,2017-01-17 00:04:53,2092870,400635,43897,46512126,c,Firefox,Mobile,1
IDbDS9myA,2017-01-13 02:17:28,4025649,351311,48498,55358028,b,InternetExplorer,Desktop,0
IDUoqeLoq,2017-01-11 09:55:17,2945595,610350,1678,32912111,a,Firefox,Mobile,0
IDWEWGPNC,2017-01-18 17:56:46,,177337,6906,71165566,b,Edge,Tablet,0
IDqcvOquY,2017-01-16 05:31:57,238636,560663,53956,52437512,e,Mozilla,Desktop,0
IDLs4dkY2,2017-01-20 03:30:30,6237610,883466,40339,43452411,b,Google Chrome,Mobile,0
IDoKzgUuS,2017-01-19 17:20:47,1997232,126098,84974,48626108,b,Edge,Tablet,0
IDSbDJ6bi,2017-01-14 16:19:15,3673767,96018,54125,27723861,e,Edge,Tablet,0
IDKfLne0C,2017-01-20 10:54:49,8565335,972830,15912,7864011,f,Edge,,0
IDWlCtXme,2017-01-17 16:11:36,2882003,403880,26849,43770446,a,Edge,Tablet,0
IDDYlhA0H,2017-01-18 17:28:38,3297631,618293,46450,57977218,a,Firefox,Mobile,0
IDU8lyaYk,2017-01-12 15:08:49,3339270,883466,40339,43452411,b,Mozilla,Desktop,0
IDJRkVJxg,2017-01-12 08:38:12,8346169,538242,904,94350426,b,Firefox,Mobile,0
IDa4YoBTD,2017-01-19 16:19:42,7811819,435573,97863,87807327,c,Firefox,,0
IDqpjQXen,2017-01-19 16:22:36,8038064,273593,21407,9434818,b,Firefox,Mobile,0
IDwOXobx7,2017-01-10 05:41:03,296842,921202,904,94350426,a,Edge,Tablet,0
IDpH6CKrK,2017-01-19 10:06:45,6984978,123714,2053,36082259,a,Firefox,,0
ID0uDV0D7,2017-01-13 13:06:54,7361873,382005,68575,7122654,c,Firefox,Mobile,0
ID9jVBEA9,2017-01-12 15:09:29,561168,328284,21407,80645978,b,Firefox,Mobile,0
IDOqpbVvP,2017-01-18 09:28:24,9513546,99555,99178,87807327,b,Mozilla Firefox,,0
ID0qFg86d,2017-01-17 10:55:59,,777412,8675,79906734,b,Edge,Tablet,0
IDqDKZXrk,2017-01-17 16:44:30,1880176,531383,80554,74868704,a,Edge,Tablet,0
IDA2JYLT5,2017-01-15 13:24:22,4444719,525001,87732,555603,b,Mozilla Firefox,Desktop,0
IDAioOa3M,2017-01-15 03:04:12,,784059,62809,47079934,e,Mozilla,Desktop,0
IDqCdyclY,2017-01-20 10:28:37,5078701,195286,82877,76485796,b,Google Chrome,Mobile,0
IDh6U99ew,2017-01-20 08:33:48,6649228,676490,33638,47079934,a,,Mobile,0
ID30GrB92,2017-01-14 11:05:20,3351730,584163,40339,7122654,b,Mozilla Firefox,,0
IDpJwLPVg,2017-01-11 19:14:19,6557759,640386,40339,5675575,b,Firefox,Mobile,0
IDWmnKCkK,2017-01-12 10:36:45,6549547,806710,17714,74868704,b,Firefox,Mobile,0
IDl0iSIWp,2017-01-16 11:33:28,,698377,42227,35959458,a,InternetExplorer,Desktop,0
ID9NYgHNQ,2017-01-14 11:45:56,2342470,157083,42227,18243870,b,Edge,Tablet,0
IDyJeyfGH,2017-01-16 14:16:02,1932011,38452,80554,61940782,b,Opera,Mobile,0
IDpVlmaho,2017-01-14 14:01:14,5441269,206746,904,58604466,d,Chrome,Desktop,0
IDhM5A0hl,2017-01-16 17:57:49,2129082,750786,80554,57977218,a,Firefox,,0
IDN439rpK,2017-01-20 12:49:37,94250,527842,23576,16150900,c,Safari,Tablet,1
IDTtJ5QnQ,2017-01-17 15:52:38,8064106,362218,14345,555603,d,Firefox,Mobile,0
IDlibOjTW,2017-01-15 15:21:53,4407286,684154,17118,46148550,f,InternetExplorer,Desktop,0
IDt0wtSaA,2017-01-15 12:35:40,2410403,382869,40339,43452411,b,InternetExplorer,Desktop,0
IDCo7ldq8,2017-01-10 15:40:48,3676799,399240,54916,71716856,b,Firefox,Mobile,0
IDI7g0Wau,2017-01-15 12:53:39,2781705,233587,10345,42296429,b,Edge,Tablet,0
ID3CKN3i0,2017-01-16 05:47:01,1813701,645916,80554,7122654,f,Edge,Tablet,0
IDolVuNmC,2017-01-13 15:09:12,7331690,227709,29711,20301556,b,IE,Mobile,0
IDyZSUzZY,2017-01-14 13:00:12,2136714,777155,43897,47079934,f,Firefox,,0
IDwHHu0ID,2017-01-12 06:11:44,6500057,123025,80554,29916445,f,Edge,Tablet,0
IDFq05u5F,2017-01-11 19:51:07,20680,610308,97863,46540795,b,InternetExplorer,Desktop,0
IDpQpTrvw,2017-01-14 11:29:00,2307916,540577,73362,86289887,c,Mozilla,,0
IDLluLR2A,2017-01-17 12:43:56,9784238,430406,14960,91436340,b,Mozilla,Desktop,0
IDCxVV8dR,2017-01-20 17:42:08,5784412,202568,82877,19723676,f,Firefox,Mobile,0
IDAZpY5NJ,2017-01-12 14:29:20,6240846,672751,93286,90093962,f,IE,Mobile,0
IDZ6WZhi6,2017-01-10 18:55:27,7985561,158813,17714,26391770,b,InternetExplorer,Desktop,0
IDfXT7nYS,2017-01-11 18:04:44,9323000,948841,54916,58321067,a,Firefox,,0
IDUnjagBn,2017-01-20 17:14:40,1759885,984520,92704,47079934,b,Mozilla,Desktop,0
IDd9dRKG1,2017-01-15 01:00:05,7885100,913591,15912,7181598,d,Firefox,Mobile,1
IDormCJZY,2017-01-18 17:12:50,2141279,931858,73362,67274540,c,Edge,Tablet,0
ID4IjaOBF,2017-01-14 09:40:38,3377833,745283,904,26391770,b,Google Chrome,Mobile,0
IDA9DGtL9,2017-01-15 06:30:23,9335708,188867,3643,555603,d,,Mobile,1
IDN2nQC4x,2017-01-19 17:38:00,3685878,216763,97863,3156697,e,Edge,Tablet,0
IDnDoOkab,2017-01-10 13:15:20,6708127,427303,61302,20301556,b,Edge,Tablet,0
IDNAt9hJQ,2017-01-14 07:59:16,7641490,457330,42227,43770446,d,Firefox,,0
IDj9cG5OO,2017-01-13 10:35:57,937650,840474,37055,43526789,b,Mozilla Firefox,Desktop,0
IDbVaIHKN,2017-01-16 14:01:27,5783679,554057,72276,9434818,a,Internet Explorer,Tablet,0
IDTXElWsZ,2017-01-12 08:37:20,4342922,7029,62809,29916445,b,Firefox,Mobile,0
IDFD8pVFR,2017-01-20 02:56:45,3836372,359588,40339,43452411,f,Mozilla,Desktop,0
IDflmMxXm,2017-01-13 15:31:11,1634962,444003,904,74363610,b,Mozilla,Desktop,0
IDDS8NsRO,2017-01-20 07:57:03,4366131,63023,43285,22435216,b,Edge,Tablet,0
IDNfELKcb,2017-01-16 13:20:46,,513322,13412,77318092,a,Mozilla,Desktop,0
IDRQgJOOF,2017-01-19 15:10:06,5571806,979185,1678,74868704,b,Edge,Tablet,0
IDsD4fPx6,2017-01-19 09:34:48,5137010,297985,9764,7122654,e,Internet Explorer,Tablet,0
IDq6Wd1bd,2017-01-17 12:13:37,7931743,842709,80554,57977218,a,Firefox,Mobile,0
IDLM0u0QM,2017-01-16 02:56:27,5571806,103249,40339,43452411,a,InternetExplorer,Desktop,1
IDeRoj7sJ,2017-01-14 16:49:11,1166025,77747,36768,67290861,a,Edge,Tablet,0
IDHnR7Cwy,2017-01-15 10:35:06,1757906,979747,74802,94555413,b,Mozilla,Desktop,0
IDDaoqt5z,2017-01-14 15:59:11,8417572,883466,40339,43452411,b,Edge,Tablet,0
IDCEq1ZXF,2017-01-12 17:14:19,4081703,938850,54343,3638268,b,Edge,Tablet,0
IDAwfXP2y,2017-01-12 17:10:18,,332476,45620,31388981,b,Mozilla Firefox,Desktop,0
IDaB39Rsn,2017-01-20 11:13:59,9376956,211073,5602,55277834,b,InternetExplorer,Desktop,0
IDjJ93pNd,2017-01-15 09:59:43,1466152,537040,73248,43770446,a,Firefox,Mobile,0
IDzshewWQ,2017-01-15 12:26:44,8139541,952201,63392,74363610,a,Edge,Tablet,0
ID7gSMTvy,2017-01-11 10:24:19,5561333,767563,73362,26461535,a,Edge,Tablet,0
IDqjTwwuL,2017-01-18 15:44:59,4805556,151848,30580,9389473,b,Firefox,,0
IDSng68Ue,2017-01-13 14:36:22,6638976,715491,93286,87807327,b,Mozilla Firefox,Desktop,0
IDJYHVykf,2017-01-16 17:53:58,1345566,983137,54916,7864011,b,Firefox,Mobile,0
IDw8fRe9T,2017-01-19 17:17:33,7383543,258013,29183,6965393,b,Firefox,Mobile,0
IDVKFzk9O,2017-01-11 13:39:42,6240846,138695,21407,59584425,d,,Mobile,0
IDPv0mbxW,2017-01-10 10:53:51,7616199,240352,12052,17581428,e,Edge,Tablet,0
IDNbkOdVV,2017-01-20 13:08:03,,187503,40339,1189152,b,Edge,Tablet,0
IDUXDpZGP,2017-01-11 19:46:05,,999684,80319,15961717,b,Mozilla,Desktop,0
IDf16jvp7,2017-01-13 15:59:30,5925925,631376,1678,76522512,f,Edge,Tablet,0
IDH7rDFrH,2017-01-19 07:54:51,,255291,11837,56546102,b,Firefox,Mobile,0
IDY6QhUM7,2017-01-15 11:06:27,,658512,48430,55420443,e,Edge,Tablet,0
IDkONqejh,2017-01-18 12:41:24,6867752,779655,76239,16150900,c,Firefox,,0
IDM4WZq4p,2017-01-10 13:47:15,,78832,42227,49384126,b,Edge,Tablet,0
IDz2ZjrKj,2017-01-10 18:45:57,9495184,64191,14960,47079934,b,Safari,Tablet,0
IDvpui7lW,2017-01-13 16:35:45,6492537,581158,41706,16943535,a,Edge,,0
IDLjwaUlk,2017-01-10 09:25:52,8350363,307879,68947,26929326,a,Firefox,Mobile,0
IDemDnXfY,2017-01-14 10:21:10,3549616,777914,80554,57977218,f,Firefox,Mobile,0
IDtxWmVtN,2017-01-20 13:19:17,5921470,618444,71531,15961717,b,InternetExplorer,Desktop,0
ID0kt2pqo,2017-01-19 10:19:38,9908730,603493,95113,65017662,c,Edge,Tablet,0
IDqP4WEEZ,2017-01-17 14:28:36,4829225,204822,26962,7122654,e,Edge,Tablet,0
IDY7aCYRs,2017-01-13 13:25:22,8476528,945081,41706,4000296,c,Mozilla,Desktop,1
IDCzPT3Ox,2017-01-13 11:04:58,834573,955328,80319,37236044,a,Edge,Tablet,0
IDa8xsgIB,2017-01-18 09:58:23,1466152,36460,80554,61940782,f,Mozilla Firefox,Desktop,0
IDNVLLAW5,2017-01-15 17:30:56,8760595,890731,47327,65017662,a,,,0
IDnZcWT5I,2017-01-13 10:26:10,8633544,42926,10345,26461535,b,Edge,Tablet,0
IDoXx9KM9,2017-01-14 07:40:53,7641490,211710,42227,18243870,e,IE,Mobile,0
IDLBtW0hS,2017-01-13 20:05:13,2148269,995962,80554,7122654,c,InternetExplorer,Desktop,1
IDfuheaJy,2017-01-13 10:40:27,6923147,188204,40339,13742268,b,Edge,Tablet,0
ID7IMHciE,2017-01-13 12:41:43,2184083,405428,12211,58163546,b,Edge,Tablet,0
IDj4V9OZO,2017-01-10 18:46:18,7708800,997898,41640,74363610,c,Firefox,Mobile,0
IDcab08oF,2017-01-16 07:41:51,882367,324506,54125,27723861,b,Mozilla Firefox,,0
IDNlFLBm6,2017-01-20 09:54:03,5608079,168803,73248,61940782,a,Edge,Tablet,0
ID561wg3G,2017-01-19 03:03:21,4161002,467479,21407,9434818,d,Edge,Tablet,0
IDS9aDq2m,2017-01-12 18:15:39,9531376,904139,15912,30860214,a,Firefox,Mobile,0
IDiEz9Z7I,2017-01-17 14:16:06,8272150,898099,11837,7864011,c,Edge,Tablet,0
IDBX0Gyy6,2017-01-15 10:23:44,9409063,390885,30580,67147700,b,Mozilla Firefox,Desktop,0
ID9sRW4Am,2017-01-13 07:46:13,726385,812139,56811,58604466,b,Edge,Tablet,0
IDNTlLMr8,2017-01-11 17:35:50,3121607,382869,40339,43452411,f,Mozilla,Desktop,0
IDPmeAkai,2017-01-14 12:10:22,9385856,665796,7169,26391770,b,Edge,Tablet,0
ID50r9CAT,2017-01-18 13:51:41,2850913,261911,97863,3156697,b,Edge,Tablet,0
IDLMXsyaU,2017-01-18 15:01:38,5417874,173495,904,26391770,f,Firefox,,0
IDXIofdXV,2017-01-10 15:16:36,7239816,508320,23576,16150900,b,Firefox,Mobile,0
IDIEgbVV2,2017-01-12 18:23:09,7334119,12312,34670,17581428,b,Mozilla Firefox,Desktop,0
IDQDzLZhG,2017-01-15 17:08:12,3882896,550575,40339,43452411,b,Edge,Tablet,0
IDFt56PcF,2017-01-12 05:07:06,8494177,595144,42227,30860214,f,Firefox,,0
